id,complete,utilisation_ia,outils_utilises_chatgpt,outils_utilises_copilot,outils_utilises_gemini,outils_utilises_deepseek,outils_utilises_grok,outils_utilises_claude,outils_utilises_autre,ia_favorite,ia_favorite_autre,taches_ia_redaction,taches_ia_recherche,taches_ia_traduction,taches_ia_programmation,taches_ia_presentation,taches_ia_analyse_donnees,taches_ia_brainstorming,taches_ia_planification,taches_ia_revision,taches_ia_cv_lettre,taches_ia_entretien,taches_ia_creation_media,taches_ia_autre,impact_ia_performance,pret_payer_ia_si_efficace,pret_payer_30e_ia,pret_payer_50e_ia,pret_payer_15e_ia,pret_payer_100e_ia,pret_payer_40e_ia,pret_payer_20e_ia,pret_payer_5e_ia,dependance_ia,confiance_ia,accord_ia_decision,partage_infos_confidentielles_ia,importance_origine_ia,verification_infos_ia,reaction_nouveautes_ia,ia_menace_travail,impact_ia_emploi,impact_ia_enseignement,attentes_futures_ia,age,genre,domaine_etudes,domaine_etudes_autre,statut_etudiant,diplome_en_cours,diplome_plus_eleve,temps_total,duree_frequence_utilisation_ia,duree_confiance_ia,duree_perspective_ia,duree_info_personnel
67,4.0,3.0,Y,N,N,N,N,Y,,OpenAI ChatGPT,,N,N,Y,Y,N,N,N,N,Y,Y,Y,N,,,Y,N,,Y,,,N,,2.0,6.0,1.0,"Oui, avec méfiance",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,,18-25 ans.,Féminin,Économie et gestion.,,Y,3.0,2.0,309.53,133.53,85.33,53.22,37.45
68,4.0,2.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,N,N,Y,N,N,N,Y,N,,,Y,Y,N,,,N,,,1.0,7.0,1.0,"Oui, avec méfiance",N,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,Elle remplacera de nombreux emplois.,Radicalement,,18-25 ans.,Féminin,Économie et gestion.,,Y,3.0,3.0,231.56,104.85,49.59,38.91,38.21
69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
70,4.0,3.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,,,N,N,,N,,,,N,1.0,9.0,2.0,"Oui, sans problème",Y,0.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",N,Elle remplacera de nombreux emplois.,Pas du tout,,25-30 ans.,Masculin,Sciences et ingénierie.,,Y,3.0,3.0,90.29,36.94,23.41,8.81,21.13
71,4.0,2.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,Y,Y,N,Y,N,N,N,N,N,N,N,N,,,N,N,,N,,,,N,1.0,8.0,2.0,"Oui, sans problème",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,Je dirai que jusqu'à présent je suis satisfaite et que je ne sais pas quoi ajouter,18-25 ans.,Féminin,Économie et gestion.,,Y,2.0,2.0,259.28,88.56,32.72,85.52,52.48
72,1.0,2.0,Y,Y,N,Y,N,Y,,OpenAI ChatGPT,,N,N,N,Y,N,N,Y,N,N,N,N,N,,,N,N,,N,,,,Y,2.0,,,,,,,,,,,,,,,,,,408.48,408.48,,,
73,1.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,N,N,N,N,N,N,Y,Y,N,N,,,N,N,,N,,,,N,1.0,,,,,,,,,,,,,,,,,,72.49,72.49,,,
74,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,,,N,N,,N,,,,N,0.0,6.0,0.0,"Non, jamais",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,,18-25 ans.,Féminin,Économie et gestion.,,Y,2.0,1.0,145.39,55.03,43.36,26.77,20.23
75,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,,,Y,Y,N,,,N,,,1.0,7.0,3.0,"Oui, avec méfiance",N,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,,25-30 ans.,Masculin,"Arts, lettres et sciences humaines.",,Y,3.0,3.0,176.8,72.41,39.81,36.88,27.7
76,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,N,N,,N,,,,N,2.0,9.0,3.0,"Oui, avec méfiance",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle remplacera de nombreux emplois.,Largement,,18-25 ans.,Féminin,Autre,Architecture,Y,2.0,2.0,309.83,100.02,60.14,100.74,48.93
77,4.0,1.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,Y,Y,N,,,N,,,2.0,8.0,1.0,"Oui, avec méfiance",Y,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,,18-25 ans.,Masculin,Autre,Marketing / communication,Y,2.0,1.0,301.21,90.27,44.41,135.07,31.46
78,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,N,N,N,N,Y,Y,N,N,,,N,N,,N,,,,N,1.0,7.0,3.0,"Non, pas d'accord",N,2.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,,18-25 ans.,Féminin,Économie et gestion.,,Y,2.0,0.0,304.24,102.9,122.08,48.23,31.03
79,4.0,3.0,Y,N,N,Y,Y,N,,OpenAI ChatGPT,,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,,,Y,Y,N,,,N,,,1.0,8.0,1.0,"Oui, avec méfiance",Y,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,Générer des videos suite a des prompts précis,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,360.17,137.23,92.85,89.98,40.11
80,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
82,4.0,1.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,N,N,N,N,N,N,N,N,N,N,,,N,N,,N,,,,N,0.0,1.0,0.0,"Non, jamais",Y,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Je ne sais pas encore.,Largement,Je ne sais pas,18-25 ans.,Masculin,Droit et science politique,,Y,3.0,3.0,335.22,159.11,82.86,67.95,25.3
83,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,N,N,Y,N,N,N,N,N,N,N,N,,,N,N,,N,,,,Y,1.0,5.0,1.0,"Non, pas d'accord",N,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,De recherche plus précise en temps réel,18-25 ans.,Masculin,Sciences et ingénierie.,,Y,3.0,3.0,513.1,134.11,99.12,250.4,29.47
84,4.0,1.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,N,N,N,Y,N,N,,,N,N,,N,,,,Y,1.0,4.0,3.0,"Non, jamais",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Je ne sais pas encore.,Largement,,25-30 ans.,Masculin,Économie et gestion.,,Y,2.0,2.0,355.51,104.6,103.32,96.72,50.87
85,4.0,3.0,Y,N,N,Y,N,N,,OpenAI ChatGPT,,Y,N,Y,Y,N,N,Y,N,N,N,N,N,,,Y,N,,Y,,,Y,,,7.0,3.0,"Oui, avec méfiance",N,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,Créer des présentations de A à Z en respectant une charte graphique précise,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,3.0,293.83,144.11,47.71,76.23,25.78
86,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,Y,Y,Y,,N,,,,1.0,7.0,2.0,"Non, pas d'accord",N,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Radicalement,,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,162.72,68.91,37.39,31.31,25.11
87,4.0,2.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,Y,N,N,N,N,Y,N,Y,,,Y,Y,N,,,N,,,1.0,6.0,0.0,"Non, pas d'accord",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,191.18,76.46,48.52,33.92,32.28
88,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,N,N,Y,N,N,N,N,N,N,N,N,,,Y,Y,Y,,Y,,,,2.0,8.0,1.0,"Oui, avec méfiance",N,3.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",N,Elle ouvrira de nouvelles opportunités professionnelles.,Radicalement,Je ne sais pas,18-25 ans.,Masculin,Autre,Master MBFA,Y,3.0,2.0,171.29,38.86,42.4,45.44,44.59
89,1.0,2.0,N,N,Y,N,Y,N,,Google Gemini,,N,N,Y,N,N,N,Y,N,N,N,N,N,,,N,N,,Y,,,N,,1.0,,,,,,,,,,,,,,,,,,109.68,109.68,,,
90,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,N,N,N,Y,N,N,,,N,N,,N,,,,Y,1.0,5.0,3.0,"Oui, avec méfiance",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,Faire des procédures administratives pour nous,30-40 ans.,Masculin,Autre,Bâtiment Travaux Public,Y,3.0,1.0,904.07,256.38,235.78,258.34,153.57
91,4.0,2.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,N,Y,N,Y,N,N,N,N,Y,N,N,N,,,N,N,,Y,,,N,,1.0,7.0,1.0,"Non, pas d'accord",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle remplacera de nombreux emplois.,Largement,Produire nos ressources de telle sorte que nous n'ayons plus a travailler,18-25 ans.,Masculin,Sciences et ingénierie.,,Y,2.0,0.0,341.77,90.64,84.69,139.58,26.86
92,4.0,3.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,,,N,N,,N,,,,Y,1.0,7.0,1.0,"Oui, avec méfiance",N,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,Je ne sais pas,25-30 ans.,Masculin,Économie et gestion.,,Y,4.0,3.0,553.78,193.59,79.42,245.38,35.39
93,1.0,2.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,N,N,N,N,N,N,N,Y,Y,N,N,N,,,N,N,,Y,,,N,,2.0,,,,,,,,,,,,,,,,,,818.93,818.93,,,
94,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
95,4.0,2.0,Y,N,N,Y,Y,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,,,N,N,,Y,,,Y,,1.0,8.0,3.0,"Non, jamais",Y,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,capacité de automatiser une certaine tache come écrire un livre en plusieurs parties,30-40 ans.,Masculin,Autre,informatique,N,,1.0,651.23,139.82,193.46,182.34,135.61
96,4.0,3.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,Y,N,Y,N,N,N,N,N,N,N,N,N,,,N,N,,N,,,,N,2.0,6.0,3.0,"Non, pas d'accord",N,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,,18-25 ans.,Masculin,,Informatique,Y,3.0,2.0,195.07,64.26,53.02,41.6,36.19
97,-1.0,3.0,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,85.92,85.92,,,
98,4.0,3.0,Y,N,N,N,N,Y,,OpenAI ChatGPT,,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,,,Y,Y,Y,,Y,,,,0.0,9.0,2.0,"Oui, avec méfiance",Y,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,,40-60 ans,Masculin,Sciences et ingénierie.,,N,,3.0,427.23,202.97,93.54,64.11,66.61
99,4.0,3.0,Y,N,N,Y,N,N,Le chat,OpenAI ChatGPT,,Y,Y,N,N,N,N,N,N,N,N,N,N,,,Y,N,,Y,,,N,,2.0,8.0,1.0,"Non, pas d'accord",N,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,321.63,175.83,70.16,37.22,38.42
100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
101,4.0,2.0,Y,N,N,Y,N,N,,OpenAI ChatGPT,,Y,N,N,N,N,Y,N,Y,N,N,N,N,,,Y,Y,N,,,N,,,2.0,6.0,2.0,"Oui, sans problème",Y,0.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",N,Elle remplacera de nombreux emplois.,Radicalement,Traité des exercices correctement en se basant sur le cour fourni en pdf,18-25 ans.,Masculin,Économie et gestion.,,Y,2.0,1.0,463.72,149.65,109.23,147.94,56.9
102,2.0,0.0,N,N,N,N,N,N,Aucun,Autre,Aucun,N,N,N,N,N,N,N,N,N,N,N,N,Aucun,,N,N,,N,,,,N,0.0,5.0,1.0,"Non, pas d'accord",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,,,,,,,,,,,,531.55,262.2,269.35,,
103,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
104,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
105,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
106,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,N,N,N,N,N,N,N,N,,,N,N,,N,,,,Y,1.0,8.0,1.0,"Oui, avec méfiance",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle remplacera de nombreux emplois.,Largement,,25-30 ans.,Féminin,"Arts, lettres et sciences humaines.",,Y,2.0,2.0,276.2,77.96,85.5,75.36,37.38
107,4.0,3.0,N,N,Y,N,N,N,,Google Gemini,,Y,Y,Y,N,Y,N,N,N,N,N,N,N,,,Y,Y,Y,,Y,,,,1.0,10.0,2.0,"Oui, sans problème",Y,2.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,L'IA doit nous permettre de naviguer gratuitement,18-25 ans.,Masculin,"Arts, lettres et sciences humaines.",,Y,0.0,0.0,611.42,179.17,126.96,181.37,123.92
108,2.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,,,N,N,,N,,,,N,2.0,7.0,1.0,"Oui, sans problème",Y,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",,,,,,,,,,,,245.91,154.47,91.44,,
109,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,N,N,N,N,N,N,N,N,Y,Y,N,,,Y,Y,Y,,N,,,,1.0,8.0,1.0,"Oui, avec méfiance",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Pas du tout,Je ne sais pas,18-25 ans.,Féminin,"Arts, lettres et sciences humaines.",,Y,3.0,3.0,304.02,117.35,69.29,72.48,44.9
110,4.0,2.0,Y,N,N,Y,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,Y,N,N,N,N,N,N,,,Y,Y,Y,,Y,,,,1.0,7.0,0.0,"Oui, avec méfiance",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle remplacera de nombreux emplois.,Légèrement,"J’aimerais qu’elle puisse prendre des initiatives et résoudre certaines taches puis répondre au mail. Par exemple, je suis chef de mission dans un cabinet d’expertise comptable, j’aimerais pouvoir dicter les variables de paye à une IA qui s’occupe de faire les calculs et générer automatiquement les fiches de payes puis les renommer et ensuite transmettre un mail au client en lui indiquant qu’il s’agit les fiches de payes et que le montant des cotisations sociales qu’il aura à payer s’élève à X montant.",18-25 ans.,Masculin,Économie et gestion.,,Y,4.0,3.0,398.44,114.66,69.62,170.44,43.72
111,4.0,3.0,Y,Y,N,N,N,N,,Microsoft Copilot,,N,N,N,Y,N,N,N,N,N,N,N,N,,,N,N,,N,,,,N,1.0,6.0,0.0,"Oui, avec méfiance",N,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,,18-25 ans.,Masculin,Autre,Mathématique et informatique,N,,3.0,425.92,93.11,109.33,156.63,66.85
112,1.0,1.0,N,N,N,N,N,Y,,Microsoft Copilot,,Y,N,N,N,N,N,N,N,N,N,N,N,,,Y,Y,Y,,Y,,,,0.0,,,,Y,,,,,,,,,,,,,,57.53,44.29,13.24,,
113,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
114,4.0,2.0,Y,N,N,Y,N,N,,OpenAI ChatGPT,,N,Y,Y,N,N,N,N,N,N,N,N,N,Les mathématiques,,Y,Y,Y,,N,,,,2.0,7.0,3.0,"Non, pas d'accord",N,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,Moins d'erreur,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,266.0,92.06,72.97,75.25,25.72
115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
116,2.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,N,Y,N,N,N,N,N,N,Y,N,N,,,N,N,,N,,,,N,,9.0,2.0,"Oui, avec méfiance",N,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",,,,,,,,,,,,150.77,78.86,71.91,,
117,4.0,3.0,Y,Y,Y,Y,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,,,N,N,,N,,,,N,0.0,6.0,2.0,"Oui, avec méfiance",Y,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Je ne sais pas encore.,Radicalement,Cloner des être humain au niveau moléculaire,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,1650.69,226.45,45.52,1268.46,110.26
118,4.0,2.0,Y,Y,N,N,N,Y,,OpenAI ChatGPT,,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,,,N,N,,N,,,,N,1.0,8.0,1.0,"Oui, avec méfiance",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle remplacera de nombreux emplois.,Largement,,18-25 ans.,Masculin,Sciences et ingénierie.,,Y,3.0,1.0,416.75,183.9,105.29,80.31,47.25
119,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
120,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
121,4.0,1.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,N,N,N,N,N,N,N,N,N,N,,,Y,Y,Y,,N,,,,1.0,7.0,1.0,"Oui, avec méfiance",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,J’aimerais que l’ia puisse donner des détails sur les projets à mener pour une meilleure condition de vie,18-25 ans.,Masculin,"Arts, lettres et sciences humaines.",,N,,0.0,562.55,137.24,131.6,214.35,79.36
122,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,,,Y,Y,Y,,N,,,,,7.0,3.0,"Oui, sans problème",N,2.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle remplacera de nombreux emplois.,Radicalement,,18-25 ans.,Masculin,"Arts, lettres et sciences humaines.",,Y,2.0,2.0,421.08,93.7,64.33,34.31,228.74
123,4.0,3.0,Y,Y,Y,Y,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,,,N,N,,N,,,,N,2.0,8.0,2.0,"Non, pas d'accord",N,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle ouvrira de nouvelles opportunités professionnelles.,Radicalement,,18-25 ans.,Masculin,Sciences et ingénierie.,,Y,3.0,2.0,262.65,111.98,83.22,28.79,38.66
124,4.0,2.0,Y,N,Y,Y,N,N,,OpenAI ChatGPT,,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,,,Y,Y,N,,,N,,,2.0,7.0,2.0,"Oui, avec méfiance",Y,1.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,Je vais pas donner mes idées 🤣,18-25 ans.,Masculin,Sciences et ingénierie.,,Y,3.0,0.0,397.74,229.96,69.04,56.61,42.13
125,1.0,2.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,N,Y,Y,N,N,N,N,N,Y,N,N,N,,,Y,N,,Y,,,Y,,1.0,,,,,,,,,,,,,,,,,,189.14,189.14,,,
126,4.0,3.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,N,N,Y,N,N,N,,,Y,N,,Y,,,N,,1.0,6.0,3.0,"Non, pas d'accord",Y,1.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,,18-25 ans.,Féminin,Sciences et ingénierie.,,Y,3.0,0.0,253.76,114.91,60.04,43.72,35.09
127,1.0,1.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,N,N,N,N,N,N,N,N,N,N,N,N,Traitement d'exercices Scientifiques,,N,N,,N,,,,Y,0.0,,,,,,,,,,,,,,,,,,291.57,291.57,,,
128,4.0,1.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,N,N,N,N,N,N,N,N,N,N,,,N,Y,N,,,N,,,1.0,7.0,3.0,"Oui, avec méfiance",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,,30-40 ans.,Masculin,Droit et science politique,,Y,3.0,3.0,295.57,125.9,79.43,40.48,49.76
129,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,Y,Y,N,,,N,,,2.0,4.0,1.0,"Non, pas d'accord",N,3.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle aidera les travailleurs plutôt que de les remplacer.,Radicalement,L’IA fait déjà tout !,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,0.0,291.32,88.73,78.15,83.39,41.05
130,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
131,4.0,3.0,N,N,N,N,N,N,Perplexity,Autre,Perplexity,N,Y,N,N,N,N,N,N,N,N,N,N,,,N,N,,Y,,,N,,1.0,7.0,2.0,"Oui, avec méfiance",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Légèrement,Créer un appareil qui va remplacer l’avion,18-25 ans.,Féminin,Autre,Psychologie,Y,1.0,0.0,359.65,148.82,68.71,72.09,70.03
132,4.0,2.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,N,Y,Y,N,N,Y,N,N,Y,N,N,N,,,Y,N,,Y,,,Y,,0.0,6.0,3.0,"Non, pas d'accord",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,Faire des exposés avec des images,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,483.81,104.29,175.54,164.12,39.86
133,4.0,3.0,Y,N,N,N,Y,N,,Grok,,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,,,Y,N,,Y,,,N,,2.0,8.0,1.0,"Non, jamais",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,Difficile de répondre sachant que la portée de l'IA est déjà très large.,18-25 ans.,Masculin,Autre,Finance,Y,3.0,2.0,357.63,83.09,95.45,146.33,32.76
134,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,N,N,N,N,N,N,N,N,N,N,,,N,N,,N,,,,Y,2.0,7.0,1.0,"Non, jamais",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle remplacera de nombreux emplois.,Largement,L'actualité,25-30 ans.,Féminin,Droit et science politique,,Y,3.0,3.0,591.61,241.16,185.12,108.19,57.14
135,4.0,3.0,Y,Y,N,Y,Y,N,,OpenAI ChatGPT,,N,Y,N,N,N,N,N,N,N,N,N,N,,,Y,Y,Y,,Y,,,,0.0,5.0,1.0,"Non, pas d'accord",Y,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",Y,Elle remplacera de nombreux emplois.,Largement,Pas de réponse à l’instant T.,18-25 ans.,Masculin,Économie et gestion.,,Y,3.0,2.0,322.85,151.43,82.84,47.8,40.78
136,4.0,1.0,N,N,Y,N,N,N,,Google Gemini,,N,Y,N,N,N,N,N,N,N,N,N,N,,,Y,N,,N,,,,Y,0.0,7.0,1.0,"Non, pas d'accord",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle remplacera de nombreux emplois.,Largement,,30-40 ans.,Masculin,Médecine et santé.,,N,,0.0,351.15,171.63,84.57,62.83,32.12
